대학명,계열,학점,토익,토스,오픽,자격증,수상경험,인턴,해외경험,봉사활동,기업명,부서
한양대학교(서울),기계/자동차/조선공학,3.69 / 4.5,700,없음,없음,0개,0회,1회,0회,0회,현대자동차㈜,연구·실험·기술
서울시립대학교,기계/자동차/조선공학,3.71 / 4.5,935,L6,없음,0개,0회,0회,0회,0회,현대트랜시스 주식회사,연구·실험·기술
국민대학교,기계/자동차/조선공학,3.74 / 4.5,765,없음,IM,0개,1회,0회,1회,0회,현대모비스㈜,연구·실험·기술
영남대학교,기계/자동차/조선공학,4.03 / 4.5,830,L6,없음,2개,0회,0회,0회,1회,삼성중공업㈜,자동차·조선설계
부산대학교(밀양),기계/자동차/조선공학,3.85 / 4.5,855,L6,없음,0개,0회,0회,0회,0회,삼성전기㈜,연구·실험·기술
부산대학교(밀양),기계/자동차/조선공학,3.85 / 4.5,855,L6,없음,0개,0회,0회,0회,0회,현대자동차㈜,플랜트
홍익대학교(서울),기계/자동차/조선공학,3.93 / 4.5,830,L6,없음,0개,0회,1회,0회,1회,㈜효성,연구·실험·기술
가천대학교 경원캠퍼스,기계/자동차/조선공학,3.58 / 4.5,없음,없음,IH,0개,1회,1회,4회,0회,삼성전자㈜,생산관리
인하대학교,기계/자동차/조선공학,3.63 / 4.5,810,L6,없음,0개,0회,0회,0회,0회,㈜포스코건설,건축설계
숭실대학교,기계/자동차/조선공학,3.84 / 4.5,910,L6,없음,0개,0회,0회,1회,1회,LG전자㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.79 / 4.5,없음,L6,없음,0개,0회,2회,0회,1회,현대위아,연구·실험·기술
동아대학교,기계/자동차/조선공학,3.96 / 4.5,840,없음,IH,1개,0회,0회,1회,0회,㈜평화발레오,기계·기구설계
아주대학교,기계/자동차/조선공학,3.97 / 4.5,880,L5,없음,0개,0회,1회,0회,0회,LG전자㈜,연구·실험·기술
홍익대학교(서울),기계/자동차/조선공학,3.3 / 4.5,835,없음,IH,2개,5회,0회,0회,1회,LG전자㈜,연구·실험·기술
아주대학교,기계/자동차/조선공학,3.53 / 4.5,855,L6,없음,0개,0회,1회,1회,1회,현대위아,연구·실험·기술
경희대학교(서울),기계/자동차/조선공학,4.3 / 4.5,835,없음,IL,2개,0회,1회,2회,0회,현대자동차㈜,연구·실험·기술
고려대학교(세종),기계/자동차/조선공학,3.69 / 4.5,840,L7,없음,2개,0회,2회,1회,1회,현대자동차㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.76 / 4.5,840,L6,없음,0개,1회,0회,0회,1회,금호건설㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.76 / 4.5,840,L6,없음,0개,0회,0회,0회,0회,코웨이㈜,기계·기구설계
한국산업기술대학교,기계/자동차/조선공학,3.19 / 4.5,770,L5,없음,2개,0회,0회,0회,2회,㈜셀트리온,포장기계
아주대학교,기계/자동차/조선공학,3.44 / 4.5,없음,L6,없음,0개,0회,1회,0회,0회,두산인프라코어㈜,연구·실험·기술
인하대학교,기계/자동차/조선공학,3.96 / 4.5,없음,없음,IM,0개,0회,0회,1회,0회,삼성전자㈜,기계설비
-,기계/자동차/조선공학,3.19 / 4.5,795,L5,없음,3개,1회,1회,0회,1회,LG전자㈜,생산관리
인하대학교,기계/자동차/조선공학,3.96 / 4.5,없음,없음,IM,0개,0회,0회,1회,0회,현대자동차㈜,플랜트
